year_of_assessment,resident_type,chargeable_income_group,no_of_companies,chargeable_income,net_tax_assessed
2010,Tax Resident,"30,001 - 60,000",6673,292,49
2010,Tax Resident,"60,001 - 100,000",4966,391,66
2010,Tax Resident,"100,001 - 300,000",7006,1158,196
2010,Tax Resident,"300,001 - 500,000",2112,822,138
2010,Tax Resident,"500,001 - 1,000,000",2540,1801,302
2010,Tax Resident,"1,000,001 - 3,000,000",2638,4597,768
2010,Tax Resident,"3,000,001 - 5,000,000",807,3113,514
2010,Tax Resident,"5,000,001 & above",1677,50083,7005
2011,Non-Tax Resident,"10,000 & below",351,1,0
2011,Non-Tax Resident,"10,001 - 20,000",187,3,1
2011,Non-Tax Resident,"20,001 - 30,000",175,4,1
2011,Non-Tax Resident,"30,001 - 60,000",249,11,2
2011,Non-Tax Resident,"60,001 - 100,000",173,14,2
2011,Non-Tax Resident,"100,001 - 300,000",209,33,5
2011,Non-Tax Resident,"300,001 - 500,000",77,30,5
2011,Non-Tax Resident,"500,001 - 1,000,000",84,58,9
2011,Non-Tax Resident,"1,000,001 - 3,000,000",103,182,29
2011,Non-Tax Resident,"3,000,001 - 5,000,000",36,143,22
2011,Non-Tax Resident,"5,000,001 & above",161,9794,1221
2011,Tax Resident,"10,000 & below",13585,45,7
2011,Tax Resident,"10,001 - 20,000",5283,77,12
2011,Tax Resident,"20,001 - 30,000",3696,92,14
2011,Tax Resident,"30,001 - 60,000",6783,295,48
2011,Tax Resident,"60,001 - 100,000",5075,398,65
2011,Tax Resident,"100,001 - 300,000",7259,1210,182
2011,Tax Resident,"300,001 - 500,000",2180,850,125
2011,Tax Resident,"500,001 - 1,000,000",2537,1799,280
2011,Tax Resident,"1,000,001 - 3,000,000",2726,4713,761
2011,Tax Resident,"3,000,001 - 5,000,000",849,3292,531
2011,Tax Resident,"5,000,001 & above",1791,62204,8274
2012,Non-Tax Resident,"10,000 & below",333,1,0
2012,Non-Tax Resident,"10,001 - 20,000",210,3,1
2012,Non-Tax Resident,"20,001 - 30,000",193,5,1
2012,Non-Tax Resident,"30,001 - 60,000",286,12,2
2012,Non-Tax Resident,"60,001 - 100,000",192,15,3
2012,Non-Tax Resident,"100,001 - 300,000",220,36,6
2012,Non-Tax Resident,"300,001 - 500,000",65,25,4
2012,Non-Tax Resident,"500,001 - 1,000,000",85,60,10
2012,Non-Tax Resident,"1,000,001 - 3,000,000",106,188,31
